anchor,eps,seed,month,junior,total
0.25,2.25,1,36,1.0181470869149951,1.0173530772790376
0.25,2.25,1,42,1.0439453125,1.0405756074545884
0.25,2.25,1,48,1.037463976945245,1.0381129444573554
0.25,2.25,1,54,1.1054405392392874,1.1183597390493942
0.25,2.25,1,60,1.0846560846560847,1.1662398137369034
0.25,2.25,1,66,1.0551452486459871,1.2374014807738238
0.25,2.25,1,72,0.9144411473788329,1.2882775119617225
0.25,2.25,1,78,0.8151750972762646,1.3198029094321915
0.25,2.25,1,84,0.8512396694214877,1.402967498822421
0.25,2.25,1,90,0.975867269984917,1.534419849185113
0.25,2.25,1,96,1.0505701536936043,1.5846706586826347
0.25,2.25,1,102,1.1325242718446602,1.619360902255639
0.25,2.25,1,108,1.205240174672489,1.6541071846477884
0.25,2.25,1,114,1.264434740417273,1.7197183098591549
0.25,2.25,1,120,1.3825995807127882,1.8919604362160791
0.25,2.25,1,126,1.3650228774783935,1.8709995076317085
0.25,2.25,1,132,1.3656297807241204,1.8695866141732282
0.25,2.25,1,138,1.3517138599105811,1.8591718825228696
0.25,2.25,1,144,1.3261402648357037,1.8182680901542112
0.25,2.25,1,150,1.4133937562940584,1.9371957156767283
0.25,2.5,0,0,0.9944289693593314,0.9961754780652419
0.25,2.5,0,6,0.9967243799719232,0.9975005680527153
0.25,2.5,0,12,1.002886002886003,0.998375493153864
0.25,2.5,0,18,0.9766464269033162,0.9780294450736127
0.25,2.5,0,24,0.9971777986829727,0.9979475484606614
0.25,2.5,0,30,1.0,0.9977116704805492
0.25,2.5,0,36,1.003701989819528,1.0004476275738585
0.25,2.5,0,42,0.9648490310950879,0.9629629629629629
0.25,2.5,0,48,0.9947089947089947,0.9970091860713522
0.25,2.5,0,54,1.0539568345323742,1.0700304480208787
0.25,2.5,0,60,1.0657276995305165,1.1587445985899476
0.25,2.5,0,66,0.9253112033195021,1.1859060402684565
0.25,2.5,0,72,0.8082622361921868,1.2047381004129538
0.25,2.5,0,78,0.8258928571428571,1.2612924140912039
0.25,2.5,0,84,0.91681654676259,1.3475038151297145
0.25,2.5,0,90,1.0196436729100045,1.398718798321184
0.25,2.5,0,96,1.111679851093532,1.5332282045505745
0.25,2.5,0,102,1.2521389028686463,1.7210038986354776
